Name,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Total
ALEKSANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,5,0,18
ALESSANDRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,7,0,0,5,0,0,0,30
ALEX,6,0,0,0,0,6,0,7,5,6,5,0,6,0,0,0,0,0,9,0,0,5,8,0,10,7,9,6,7,9,8,0,7,0,0,0,0,0,7,8,8,6,0,5,7,10,6,0,0,5,6,6,6,5,10,5,5,8,6,9,11,13,9,16,12,18,20,28,29,32,34,32,33,51,57,55,55,45,57,43,42,48,41,48,51,37,37,41,36,41,33,47,33,31,28,27,38,16,30,19,"1,628"
ALEXANDER,27,38,42,26,8,32,32,31,29,27,25,32,29,31,18,24,19,28,13,24,20,40,21,34,29,33,29,41,33,31,29,34,43,36,42,35,46,39,46,51,39,41,51,37,34,34,34,45,36,38,33,22,33,28,51,53,52,40,66,65,59,72,86,84,97,132,153,174,198,209,237,247,261,284,286,317,314,258,270,261,223,197,220,176,203,193,205,187,183,164,198,199,183,191,197,175,183,154,152,139,"9,800"
ALEXANDRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,8,9,11,9,9,0,6,0,0,9,10,0,10,7,7,7,0,8,10,14,8,0,5,7,0,0,0,166
ALEXIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
ALEXZANDER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,0,5,0,0,0,0,0,0,0,0,0,22
ALFIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
ALFRED,27,39,43,29,6,25,36,34,29,18,27,24,29,19,33,26,26,33,27,29,24,31,36,38,30,27,28,39,26,24,33,27,29,32,29,36,25,35,37,35,32,28,32,19,19,16,18,12,11,7,11,12,14,8,9,12,9,5,13,0,12,12,0,5,8,10,6,0,5,0,9,0,0,0,6,9,0,7,0,6,0,5,0,0,0,0,0,0,0,0,0,8,0,0,8,0,6,6,6,9,"1,610"
ALI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,5,0,0,7,0,0,8,10,5,14,5,16,13,11,11,15,10,16,11,18,9,14,9,14,15,11,9,17,16,17,14,20,352
